id,text_lower,label,matched_word
1608557710022438912,"despite difficult conditions in iran and ukraine, twitter has blocked the prefixes of these two countries, which makes them unable to access many of the features available on twitter. let the people from every country speak without putting obstacles on the way. #iranrevolution",1,twitter has block
1603014583932911616,"we hope to have this account banned on @twittersupport the soonest. @elonmusk \nthis person is hanging his own people, torturing, killing, kidnapping in #iran, #iraq, #syria, #lebanon, #yamen, and non is holding him accountable. let’s at least stop feeding his propaganda. https://t.co/z71s3japoc",1,account banned
1577557651755393024,#مهسا_امینی #اعتصابات_سراسری #nytimes \ndo sth. for iranians\nkick out  the diplomats and relatives of the bloodthirsty regime of the islamic republic of iran and block their bank accounts.any negotiation with the islamic republic is tantamount to enmity with the people of iran. https://t.co/qfvkejdswk,0,block their bank account
1593607810180186113,meta reportedly fires dozens of employees for hijacking users’ facebook  #security #cybersecurity #hack #it-security https://t.co/yfopnnbvxw,0,reportedly fires dozens of employees for hijacking user
1610745458049286144,"inbox us, if you need our hacking services.\nwe are available 24/7\ninbox and smile again\n#hacked #facebookdown #whatspp #hackedinstagram #twitterdown  #lockedaccount #metamask #ransomware #bnb hat #hack #suspended",1,twitterdown  #lockedaccount #metamask #ransomware #bnb hat #hack #suspend
1595041226729848835,hey @twitter\n @twittersupport\n @elonmusk\n\nthese @erenrumbling21\n @barandaazonline\n accounts have been a tremendous help during our revolution. they haven't violated any of your rules so we must demand that you remove your limitations from these users.\n#mahsaamini\n#r2piran,1,twitter\n @twittersupport\n @elonmusk\n\nthese @erenrumbling21\n @barandaazonline\n accounts have been a tremendous help during our revolution. they haven't violated any of your rules so we must demand that you remove
1575816787727290369,https://t.co/7bgdcwhbnz this young man shervin hajipour was arrested by iranian police forces simply for singing a song echoing social media posts by iranians after mahsa amini’s death. they forced him to delete the song. #iranrevolution2022 \n#mahsaamini\n#opiran \n#مهسا_امینی,1,posts by iranians after mahsa amini’s death. they forced him to delete
1590353643546738689,93% of internet users in iran use vpn or similar tools to access blocked content and applications.\n\nup from 35%.\n\nlet that sink in.\n\n#iranprotests2022 #mahsaamini #iranrevolution \n#مهسا_امینی #توماج_صالحی https://t.co/x30zmwgdyh,0,users in iran use vpn or similar tools to access block
1575631013908475904,this video of singer shervin hajipour singing tweets by iranians who share why they're fighting for freedom went viral with tens of millions of views.\nthe islamic republic has forced shervin to delete the video and they have arrested him. \n#mahsaamini #مهسا_امینی https://t.co/lvrjcaj9y4,1,tweets by iranians who share why they're fighting for freedom went viral with tens of millions of views.\nthe islamic republic has forced shervin to delete
1585726130493030400,also a nice double standard here. when negar mortazavi and other staff get harassed: oh nooo they're killing us😱 we condemn this act of harassment 😠\nwhen their staff harasses people:\nwe wish her luck and send her hugs and kisses 😘\n#mahsaamini \n#iranrevoiution https://t.co/4ia3id1fjd,0,harassment
1587081078593961987,"i've been posting iran and palestine stuff in my instagram stories, and a few posts about iran and today my instagram account was suspended...#iranrevolution",1,"posting iran and palestine stuff in my instagram stories, and a few posts about iran and today my instagram account was suspend"
1579235634254073857,"this is not the first time @oprah deleted my comment immediately on her instagram account. guess what sister, you can't do anything here!  #opiran‌‌ #mahsaamini #مهسا‌‌‌‌_امینی #oprah #iran https://t.co/46yyswnkmb",1,deleted my comment immediately on her instagram account
1599131493325938689,masih is getting a lot of ir trolls on her tweets lately. pls suppot her by replaying to her tweets&amp; consider reporting those who r attacking her&amp; also spreading lies(here saying mina is not injured &amp; it's make up; i wonder why so many die in custody or have fractures #mahsaamini https://t.co/cngzc1csdy,1,tweets lately. pls suppot her by replaying to her tweets&amp; consider report
1584160583619727360,"""snapp helps the lr regime in the protests of the iranian people and gives the information of its customers such as name, location, order information to the police to arrest them. may we ask you to delete this application to save the lives of iranian people.\n#مهسا_امینی",1,delete
1585884632624398337,sharmine narwani is a paid agent of the islamic republic of #iran. making fun about  the human right abuses towards  #women in iran.\nto be suspended  please.\n#mahsaamini \n#opiran \n#iranrevoiution\n@anonymousnn3\n@twitter @samanva massive reporting\n@policy \n@elonmusk \n@anonopssee https://t.co/iguhyhpsff,1,suspended  please.\n#mahsaamini \n#opiran \n#iranrevoiution\n@anonymousnn3\n@twitter
1572995108571869185,lots of the iranian @whatsapp accounts(start with +98) do not work properly even from abroad.\nlots of the posts related to the current protests in iran are removed on @instagram \nshame on you @meta\n#opiran \n#مهسا_امینی,1,accounts(start with +98) do not work properly even from abroad.\nlots of the posts related to the current protests in iran are remove
1572907177525788673,lots of the iranian @whatsapp accounts(start with +98) do not work properly even from abroad.\nlots of the posts related to the current protests in iran are removed on @instagram \nshame on you @meta\n#opiran \n#مهسا_امینی\n175,1,accounts(start with +98) do not work properly even from abroad.\nlots of the posts related to the current protests in iran are remove
1572901123165413376,lots of the iranian @whatsapp accounts(start with +98) do not work properly even from abroad.\nlots of the posts related to the current protests in iran are removed on @instagram \nshame on you @meta\n#opiran \n#مهسا_امینی\n83,1,accounts(start with +98) do not work properly even from abroad.\nlots of the posts related to the current protests in iran are remove
1608526054737543168,"despite difficult conditions in iran and ukraine, twitter has blocked the prefixes of these two countries, which makes them unable to access many of the features available on twitter. let the people from every country speak without putting obstacles on the way. #iranrevolution",1,twitter has block
1571470399661277184,ihg hack: 'vindictive' couple deleted hotel chain data for fun\n\n#databreach #cybersecurity #cybercrime #privacy #cyberattack #datasecurity #malware #hack #ihg #data #ai #hotel #fun #couple #chain  #shoebhakim #breach #sqlattack : lawhak ai https://t.co/ltkdrrfuos,0,delete
1608522690071261184,"despite difficult conditions in iran and ukraine, twitter has blocked the prefixes of these two countries, which makes them unable to access many of the features available on twitter. let the people from every country speak without putting obstacles on the way #iranrevolution",1,twitter has block
1611019888117649411,"iranians are being silenced again. according to @netblocks the data disruption is at its highest and mobile internet has been cut off for many users. the islamic regime wants you to think the protests and the govt's atrocities are over, it's a false notion. #iranrevolution",0,blocks the data disruption is at its highest and mobile internet has been cut off for many user
